,EJ2,J2,PLT3,PLT7,Season,obs_mean,variance
0,H1,H,H,H,Fall 22,0.76,0.7608053691275167
1,H1,H,H,H,Summer 22,0.3769230769230769,0.48473464519976167
2,H1,H,H,M,Fall 22,4.35,6.344736842105263
3,H1,H,H,M,Summer 22,2.5,3.0
4,H1,H,H,W,Fall 22,0.25,0.24358974358974364
5,H1,H,H,W,Summer 22,0.08571428571428572,0.09331963001027752
6,H1,H,H,W,Summer 23,0.22131147540983606,0.27113785027860776
7,H1,H,M,H,Fall 22,8.354430379746836,28.56507627393703
8,H1,H,M,H,Summer 22,10.86,20.245306122448973
9,H1,H,M,W,Fall 22,2.533333333333333,2.3954022988505748
10,H1,H,M,W,Summer 22,0.7,1.0448275862068965
11,H1,H,M,W,Summer 23,1.8307692307692307,2.056192456192457
12,H1,H,W,H,Fall 22,0.3,0.2210526315789474
13,H1,H,W,H,Summer 22,0.05,0.04871794871794871
14,H1,H,W,M,Fall 22,0.4666666666666667,0.6022988505747127
15,H1,H,W,M,Summer 22,0.16666666666666666,0.21264367816091956
16,H1,H,W,W,Fall 22,0.3,0.8999999999999999
17,H1,H,W,W,Summer 22,0.13333333333333333,0.11954022988505747
18,H1,H,W,W,Summer 23,0.132,0.13110040160642575
19,H1,M,H,H,Fall 22,1.44,1.026938775510204
20,H1,M,H,H,Summer 22,1.0333333333333334,1.6885057471264366
21,H1,M,H,M,Fall 22,4.2,5.751724137931034
22,H1,M,H,M,Summer 22,2.8666666666666667,2.9471264367816095
23,H1,M,H,W,Fall 22,0.852017937219731,0.7482729366137443
24,H1,M,H,W,Spring 23,0.65,0.6354430379746837
25,H1,M,H,W,Summer 22,0.85,0.976315789473684
26,H1,M,H,W,Summer 23,1.4928571428571429,1.589876670092497
27,H1,M,M,H,Fall 22,11.477272727272727,39.41807610993658
28,H1,M,M,H,Summer 22,15.75,24.61842105263158
29,H1,M,M,W,Fall 22,4.325842696629214,4.813074565883553
30,H1,M,M,W,Spring 23,2.6458333333333335,2.616578014184397
31,H1,M,M,W,Summer 22,4.1,2.4105263157894736
32,H1,M,M,W,Summer 23,4.333333333333333,5.595505617977529
33,H1,M,W,H,Fall 22,0.78,0.9506122448979593
34,H1,M,W,H,Summer 22,0.3,0.32631578947368417
35,H1,M,W,M,Fall 22,1.6666666666666667,1.3333333333333333
36,H1,M,W,W,Fall 22,0.7483443708609272,0.8429139072847681
37,H1,M,W,W,Spring 23,0.3880597014925373,0.45318860244233383
38,H1,M,W,W,Summer 22,0.6333333333333333,0.7229885057471264
39,H1,M,W,W,Summer 23,1.0157894736842106,1.3066276803118908
40,H1,W,H,H,Fall 22,0.3,0.5620689655172413
41,H1,W,H,H,Summer 22,0.43333333333333335,0.5988505747126438
42,H1,W,H,M,Fall 22,2.15,2.762025316455696
43,H1,W,H,M,Summer 22,0.3,0.4555555555555555
44,H1,W,H,W,Fall 22,0.23333333333333334,0.18505747126436786
45,H1,W,H,W,Summer 22,0.14,0.12285714285714287
46,H1,W,H,W,Summer 23,0.2,0.23115577889447228
47,H1,W,M,H,Fall 22,8.65,9.397368421052633
48,H1,W,M,H,Summer 22,9.7,9.122222222222225
49,H1,W,M,W,Summer 22,1.4,1.726315789473684
50,H1,W,M,W,Summer 23,1.509090909090909,1.4081734778982486
51,H1,W,W,H,Fall 22,0.25,0.30263157894736836
52,H1,W,W,H,Summer 22,0.1,0.1
53,H1,W,W,M,Fall 22,0.4,0.26666666666666666
54,H1,W,W,M,Summer 22,0.1,0.1326530612244898
55,H1,W,W,W,Fall 22,0.2,0.27368421052631575
56,H1,W,W,W,Summer 22,0.0,0.0
57,H1,W,W,W,Summer 23,0.1,0.1023668639053254
58,H3,H,H,H,Summer 23,0.49166666666666664,0.45371148459383737
59,H3,H,H,M,Summer 23,3.75,10.723684210526315
60,H3,H,H,W,Summer 22,0.12,0.1485714285714286
61,H3,H,H,W,Summer 23,0.26153846153846155,0.3186642814549791
62,H3,H,M,H,Summer 23,8.131578947368421,38.063300142247506
63,H3,H,M,W,Summer 22,1.5833333333333333,2.078014184397164
64,H3,H,M,W,Summer 23,2.1333333333333333,1.636781609195402
65,H3,H,W,H,Summer 23,0.11666666666666667,0.10480225988700569
66,H3,H,W,M,Summer 23,0.1,0.1
67,H3,H,W,W,Summer 22,0.55,0.6815789473684211
68,H3,H,W,W,Summer 23,0.275,0.4096153846153846
69,H3,M,H,H,Summer 23,1.2,0.8444444444444444
70,H3,M,H,M,Summer 23,3.5813953488372094,3.915836101882615
71,H3,M,H,W,Fall 22,2.3529411764705883,2.867647058823529
72,H3,M,H,W,Spring 23,0.7937743190661478,1.0783985894941632
73,H3,M,H,W,Summer 22,1.2476190476190476,1.9957875457875456
74,H3,M,H,W,Summer 23,1.24,1.7779591836734694
75,H3,M,M,H,Summer 23,4.6,1.3777777777777778
76,H3,M,M,W,Fall 22,4.655737704918033,10.162841530054646
77,H3,M,M,W,Spring 23,2.4146341463414633,3.3815115928937063
78,H3,M,M,W,Summer 23,2.75,3.3796296296296293
79,H3,M,W,H,Summer 23,0.5,0.47368421052631576
80,H3,M,W,M,Summer 23,1.0333333333333334,0.9298850574712643
81,H3,M,W,W,Fall 22,0.95,0.9973684210526317
82,H3,M,W,W,Spring 23,0.6938775510204082,0.5857353250578583
83,H3,M,W,W,Summer 22,1.75,2.7236842105263155
84,H3,M,W,W,Summer 23,1.45,1.3131578947368416
85,H3,W,H,H,Summer 23,0.4166666666666667,0.4166666666666667
86,H3,W,H,M,Summer 23,2.466666666666667,3.154022988505747
87,H3,W,H,W,Summer 23,0.375,0.24999999999999997
88,H3,W,M,H,Summer 23,3.25,2.3026315789473686
89,H3,W,W,H,Summer 23,0.25,0.30263157894736836
90,H3,W,W,W,Summer 23,0.13333333333333333,0.18850574712643678
91,H4,H,H,W,Fall 22,4.0,6.94736842105263
92,H4,H,H,W,Spring 23,0.1834862385321101,0.22528032619775734
93,H4,H,H,W,Summer 22,0.2789473684210526,0.28685602896129203
94,H4,H,M,W,Fall 22,2.9473684210526314,1.8304093567251458
95,H4,H,M,W,Spring 23,0.9318181818181818,1.0417547568710361
96,H4,H,M,W,Summer 22,0.822429906542056,1.392699700229236
97,H4,H,W,W,Spring 23,0.07246376811594203,0.06820119352088659
98,H4,H,W,W,Summer 22,0.1125,0.1264240506329114
99,H4,M,H,W,Fall 22,1.5,1.6435643564356435
100,H4,M,H,W,Spring 23,0.7758620689655172,0.8436176648517847
101,H4,M,H,W,Summer 22,0.9571428571428572,1.2010351966873702
102,H4,M,M,W,Fall 22,4.761006289308176,4.385558474643739
103,H4,M,M,W,Spring 23,1.9661016949152543,1.8264172998246637
104,H4,M,M,W,Summer 22,3.6,6.530612244897958
105,H4,M,W,W,Fall 22,1.072,1.1032289156626498
106,H4,M,W,W,Spring 23,0.5517241379310345,0.6025408348457351
107,H4,M,W,W,Summer 22,0.8805970149253731,1.1370420624151967
108,H4,W,H,W,Spring 23,0.09859154929577464,0.1187122736418511
109,H4,W,H,W,Summer 22,0.16666666666666666,0.2528089887640449
110,H4,W,M,W,Spring 23,1.0769230769230769,1.1781376518218623
111,H4,W,M,W,Summer 22,1.1538461538461537,0.923076923076923
112,H4,W,W,W,Spring 23,0.14,0.12285714285714285
113,H4,W,W,W,Summer 22,0.0,0.0
114,H6,H,H,W,Summer 22,0.3046683046683047,0.41926386753972966
115,H6,H,H,W,Summer 23,0.45,0.49555984555984556
116,H6,H,M,W,Summer 22,1.5121951219512195,2.0182552745772857
117,H6,H,M,W,Summer 23,2.825,3.5326923076923062
118,H6,H,W,W,Summer 22,0.21008403361344538,0.26904999287850734
119,H6,H,W,W,Summer 23,0.2,0.18181818181818182
120,H6,M,H,W,Fall 22,2.1538461538461537,1.7445797445797444
121,H6,M,H,W,Spring 23,1.5448275862068965,1.819157088122606
122,H6,M,H,W,Summer 22,1.9118942731277533,2.4169817940821026
123,H6,M,H,W,Summer 23,1.9844961240310077,1.593507751937985
124,H6,M,M,W,Fall 22,6.852941176470588,22.311051693404632
125,H6,M,M,W,Spring 23,3.5670103092783507,3.1230670103092772
