,plant_id,EJ2 variant,EJ2,J2,PLT3,PLT7,Season,branches,influorescences,obs_mean,variance
0,1850.1,W,W,W,W,W,Summer 23,1,10,0.1,0.10000000000000002
1,1850.2,W,W,W,W,W,Summer 23,2,10,0.2,0.1777777777777778
2,1850.3,W,W,W,W,W,Summer 23,0,10,0.0,0.0
3,1850.4,W,W,W,W,W,Summer 23,0,10,0.0,0.0
4,1850.5,W,W,W,W,W,Summer 23,0,10,0.0,0.0
5,1850.6,W,W,W,W,W,Summer 23,3,10,0.3,0.8999999999999999
6,1850.7,W,W,W,W,W,Summer 23,0,10,0.0,0.0
7,1850.8,W,W,W,W,W,Summer 23,1,10,0.1,0.1
8,1851.1,W,W,M,W,W,Summer 23,3,10,0.3,0.23333333333333334
9,1851.2,W,W,M,W,W,Summer 23,5,10,0.5,0.2777777777777778
10,1851.3,W,W,M,W,W,Summer 23,3,10,0.3,0.4555555555555555
11,1851.4,W,W,M,W,W,Summer 23,3,10,0.3,0.4555555555555555
12,1851.5,W,W,M,W,W,Summer 23,4,10,0.4,0.48888888888888893
13,1851.6,W,W,M,W,W,Summer 23,6,10,0.6,0.7111111111111111
14,1851.7,W,W,M,W,W,Summer 23,0,10,0.0,0.0
15,1851.8,W,W,M,W,W,Summer 23,0,10,0.0,0.0
16,1855.1,W,W,W,H,M,Summer 23,10,10,1.0,1.1111111111111112
17,1855.2,W,W,W,H,M,Summer 23,22,10,2.2,1.511111111111111
18,1855.3,W,W,W,H,M,Summer 23,39,8,4.875,2.6964285714285716
19,1855.5,W,W,W,H,M,Summer 23,32,10,3.2,2.177777777777778
20,1855.6,W,W,W,H,M,Summer 23,13,6,2.1666666666666665,6.166666666666667
21,1855.7,W,W,W,H,M,Summer 23,13,9,1.4444444444444444,0.5277777777777778
22,1855.8,W,W,W,H,M,Summer 23,86,7,12.285714285714286,46.57142857142858
23,1857.1,W,W,W,M,W,Summer 23,4,6,0.6666666666666666,1.4666666666666666
24,1857.2,W,W,W,M,W,Summer 23,14,10,1.4,0.7111111111111111
25,1857.3,W,W,W,M,W,Summer 23,3,8,0.375,0.2678571428571429
26,1857.4,W,W,W,M,W,Summer 23,2,8,0.25,0.21428571428571427
27,1857.5,W,W,W,M,W,Summer 23,5,9,0.5555555555555556,0.5277777777777779
28,1857.6,W,W,W,M,W,Summer 23,4,7,0.5714285714285714,0.6190476190476192
29,1857.7,W,W,W,M,W,Summer 23,2,7,0.2857142857142857,0.23809523809523814
30,1857.8,W,W,W,M,W,Summer 23,1,5,0.2,0.2
31,1858.1,W,W,W,W,M,Summer 23,0,9,0.0,0.0
32,1858.2,W,W,W,W,M,Summer 23,1,7,0.14285714285714285,0.14285714285714288
33,1858.3,W,W,W,W,M,Summer 23,0,10,0.0,0.0
34,1858.4,W,W,W,W,M,Summer 23,0,9,0.0,0.0
35,1858.5,W,W,W,W,M,Summer 23,0,7,0.0,0.0
36,1858.6,W,W,W,W,M,Summer 23,0,10,0.0,0.0
37,1858.7,W,W,W,W,M,Summer 23,1,6,0.16666666666666666,0.16666666666666669
38,1858.8,W,W,W,W,M,Summer 23,5,10,0.5,0.9444444444444444
39,1965.1,1,W,H,H,W,Summer 23,3,10,0.3,0.4555555555555556
40,1965.10,1,M1,W,H,W,Summer 23,4,10,0.4,0.48888888888888904
41,1965.101,1,H1,H,H,W,Summer 23,1,10,0.1,0.1
42,1965.102,1,M1,W,H,W,Summer 23,8,10,0.8,0.6222222222222222
43,1965.103,1,M1,H,M,W,Summer 23,18,10,1.8,1.9555555555555557
44,1965.104,1,M1,H,H,W,Summer 23,7,10,0.7,0.23333333333333334
45,1965.105,1,W,H,W,W,Summer 23,1,10,0.1,0.09999999999999999
46,1965.106,1,M1,W,W,W,Summer 23,1,10,0.1,0.1
47,1965.107,1,H1,H,H,W,Summer 23,1,10,0.1,0.1
48,1965.108,1,H1,W,M,W,Summer 23,19,10,1.9,1.4333333333333333
49,1965.109,1,H1,H,H,W,Summer 23,1,10,0.1,0.1
50,1965.11,1,W,M,W,W,Summer 23,1,10,0.1,0.09999999999999999
51,1965.110,1,H1,M,M,W,Summer 23,45,10,4.5,1.6111111111111105
52,1965.111,1,W,M,H,W,Summer 23,6,10,0.6,0.48888888888888893
53,1965.112,1,H1,H,H,W,Summer 23,1,10,0.1,0.10000000000000002
54,1965.113,1,H1,M,H,W,Summer 23,19,10,1.9,3.2111111111111104
55,1965.114,1,M1,H,H,W,Summer 23,8,10,0.8,1.0666666666666667
56,1965.115,1,H1,W,W,W,Summer 23,1,10,0.1,0.10000000000000002
57,1965.116,1,H1,H,W,W,Summer 23,1,10,0.1,0.09999999999999999
58,1965.117,1,H1,H,H,W,Summer 23,1,10,0.1,0.1
59,1965.118,1,H1,W,M,W,Summer 23,10,10,1.0,0.4444444444444444
60,1965.119,1,M1,M,H,W,Summer 23,147,10,14.7,45.56666666666667
61,1965.12,1,H1,M,M,W,Summer 23,45,10,4.5,3.1666666666666665
62,1965.120,1,W,H,H,W,Summer 23,2,10,0.2,0.17777777777777778
63,1965.121,1,M1,W,M,W,Summer 23,17,10,1.7,1.1222222222222222
64,1965.122,1,M1,H,H,W,Summer 23,3,10,0.3,0.23333333333333334
65,1965.123,1,W,H,M,W,Summer 23,9,10,0.9,0.9888888888888889
66,1965.124,1,H1,M,W,W,Summer 23,17,10,1.7,2.011111111111111
67,1965.125,1,M1,W,H,W,Summer 23,0,10,0.0,0.0
68,1965.126,1,W,H,H,W,Summer 23,1,10,0.1,0.1
69,1965.127,1,H1,M,W,W,Summer 23,11,10,1.1,2.5444444444444443
70,1965.128,1,H1,W,H,W,Summer 23,2,10,0.2,0.17777777777777778
71,1965.129,1,M1,W,W,W,Summer 23,0,10,0.0,0.0
72,1965.13,1,H1,W,W,W,Summer 23,1,10,0.1,0.10000000000000002
73,1965.130,1,W,W,M,W,Summer 23,11,10,1.1,0.7666666666666667
74,1965.131,1,H1,H,H,W,Summer 23,2,10,0.2,0.17777777777777778
75,1965.132,1,H1,H,H,W,Summer 23,0,10,0.0,0.0
76,1965.133,1,H1,H,H,W,Summer 23,0,10,0.0,0.0
77,1965.134,1,M1,H,H,W,Summer 23,2,10,0.2,0.1777777777777778
78,1965.135,1,W,H,H,W,Summer 23,3,10,0.3,0.23333333333333334
