,coef,std err,z,P>|z|,Conf. Int. Low,Conf. Int. Upp.
intercept,3.1315991294780283,0.15950535054594608,19.63319173155862,8.049569385555536e-86,2.818974387066538,3.444223871889519
PLT3,0.6462348649439108,0.26632993993344656,2.4264446764993792,0.015247574864047,0.12423777466963959,1.168231955218182
PLT7,-1.0663502549962598,0.1383528740643414,-7.707467316510899,1.2833915905897699e-14,-1.3375169053199747,-0.7951836046725449
J2,6.783738132087922,0.3339994516155887,20.310626557242244,1.0357468011052016e-91,6.12911123606524,7.438365028110605
EJ2(3),0.9379133983576016,0.19585256836584794,4.7888746427139095,1.6771920648867546e-06,0.5540494180808708,1.3217773786343323
EJ2(4),0.542189146550779,0.12851269794396117,4.218953887243144,2.4543846026893563e-05,0.29030888702454044,0.7940694060770175
EJ2(1),1.1417092448804735,0.11425246947284168,9.992862737657177,1.6378209673436066e-23,0.9177785195689419,1.3656399701920052
EJ2(7),0.8432581004458873,0.16122520835188595,5.230311742599297,1.692244283729461e-07,0.5272624986762245,1.1592537022155502
EJ2(8),1.5086500634479296,0.1219417420826378,12.371892000899443,3.7097857612677473e-35,1.2696486407538872,1.747651486141972
EJ2(6),1.5682556065070392,0.08738283408027261,17.946952888554637,5.069666570993411e-72,1.3969883988426657,1.7395228141714127
PLT3.het,-0.030677813176727593,0.20149279785885207,-0.15225265370635102,0.8789876663394841,-0.42559644012428693,0.3642408137708318
PLT7.het,0.17517692320204867,0.08763912237187287,1.9988438777231574,0.04562524862874773,0.0034073997164793257,0.346946446687618
J2.het,-2.1369905565243594,0.23625559338807398,-9.045248520377395,1.493251082501865e-19,-2.600043010711124,-1.673938102337595
EJ2(3).het,-0.0562799961895195,0.17529779023481887,-0.32105365455052254,0.7481697308630801,-0.3998573516192217,0.2872973592401827
EJ2(4).het,-0.218070796605769,0.10308587646354099,-2.1154284571940893,0.03439344652527923,-0.4201154017890546,-0.016026191422483432
EJ2(1).het,-0.23994093395287766,0.09834553287585596,-2.439774608326757,0.014696428115119411,-0.4326946364299552,-0.047187231475800145
EJ2(7).het,-0.06435207866805336,0.12016318314745163,-0.5355390643162911,0.5922771524450702,-0.29986758990474893,0.1711634325686422
EJ2(8).het,-0.14078433986557576,0.10173143214556025,-1.3838824136884014,0.1663944625052195,-0.34017428296655416,0.05860560323540265
EJ2(6).het,-0.28143298211018514,0.07382128018776182,-3.812355751544409,0.0001376485636983346,-0.4261200325708385,-0.13674593164953172
PLT3_J2,-1.1840467224131552,0.10330956668123639,-11.46115273202678,2.0674461670412328e-30,-1.3865297523668176,-0.9815636924594927
PLT7_J2,-1.1786186630678734,0.1466990065174376,-8.034264791887157,9.414168762780012e-16,-1.466143432409858,-0.891093893725889
PLT3_EJ2(3),-0.5038214137313428,0.2123329101131133,-2.3727900374131767,0.017654296350043355,-0.9199862702856255,-0.08765655717706011
PLT3_EJ2(4),-0.3229975442849028,0.2292000291210339,-1.4092386703595798,0.1587646067269085,-0.7722213466176608,0.12622625804785526
PLT3_EJ2(1),-0.45546647742112534,0.14428703269887053,-3.1566695142431236,0.00159582100796833,-0.7382638649470648,-0.17266908989518598
PLT3_EJ2(7),0.047847026114947434,0.2283205497298848,0.20956075207226407,0.8340105147081367,-0.3996530282860131,0.49534708051590803
PLT3_EJ2(8),-0.47063011470061566,0.1536306258159388,-3.0633873435135675,0.002188465879536353,-0.7717406082222051,-0.16951962117902614
PLT3_EJ2(6),-0.9356218583533865,0.16106719016644758,-5.808891664320403,6.2887764381819324e-09,-1.2513077501706877,-0.6199359665360853
PLT7_EJ2(3),-0.5289846465060775,0.29727762953907183,-1.779429711298044,0.07516933899106543,-1.1116380938120987,0.05366880079994385
PLT7_EJ2(4),-0.5208192281467661,0.08745443529833462,-5.955320920775346,2.595619809818001e-09,-0.6922267716197903,-0.3494116846737418
PLT7_EJ2(1),-0.5823076316529638,0.170207073957699,-3.4211717416497205,0.0006235194446285876,-0.9159073665239992,-0.24870789678192845
PLT7_EJ2(7),-0.6713537050943189,0.10001171014396097,-6.712750978139907,1.909889036624771e-11,-0.8673730550087416,-0.4753343551798962
PLT7_EJ2(8),-0.41695314191808813,0.19606714743689418,-2.126583404556788,0.03345471258494182,-0.8012376894459055,-0.032668594390270755
PLT7_EJ2(6),-1.0338524581248998,0.07409415682016228,-13.953225227114952,3.006940076627513e-44,-1.1790743369572807,-0.8886305792925189
J2_EJ2(3),1.9037810302174538,0.24640813152619082,7.726129078719548,1.1086621357807444e-14,1.420829966928311,2.3867320935065965
J2_EJ2(4),2.213886638226572,0.29434833173948644,7.521315392356213,5.422785700949367e-14,1.6369745091077306,2.7907987673454135
J2_EJ2(1),1.9359733431959596,0.1549758308674909,12.49209849277257,8.244981814766772e-36,1.6322262962215066,2.2397203901704126
J2_EJ2(7),2.8164909920703884,0.37609460985007653,7.488783189934928,6.951506183603346e-14,2.079359101984595,3.5536228821561817
J2_EJ2(8),1.7603061326833482,0.15288700979935127,11.51377173896966,1.1245035141294572e-30,1.4606530997725975,2.059959165594099
J2_EJ2(6),1.8482630040692904,0.1808884784747986,10.217693352574639,1.6522567450153488e-24,1.4937281010404364,2.2027979070981445
PLT3_PLT7.het,1.198132030179142,0.10795645676360889,11.098289681761964,1.278673385047427e-28,0.9865412630239131,1.409722797334371
PLT3_J2.het,0.4286251005278215,0.08000758060835049,5.357306111104744,8.447193763109296e-08,0.2718131240452693,0.5854370770103736
PLT3_EJ2(3).het,0.03124403369079537,0.2030760863835641,0.15385383009490622,0.877724988800094,-0.3667777817423351,0.42926584912392585
PLT3_EJ2(4).het,0.07592932986504176,0.19222433648732468,0.39500372976992204,0.6928401353834842,-0.3008234466022232,0.4526821063323067
PLT3_EJ2(1).het,0.48221375721401344,0.12911541172207852,3.7347497930919404,0.0001879019066080015,0.22915220038967882,0.7352753140383481
PLT3_EJ2(7).het,-0.47766766823299117,0.21124609369103486,-2.26119053794964,0.023747460783489226,-0.8917024037421935,-0.0636329327237889
PLT3_EJ2(8).het,-0.03858831773640525,0.1301846772879266,-0.29641213190597165,0.7669153614818833,-0.29374559655971094,0.21656896108690044
PLT3_EJ2(6).het,0.20934043704934172,0.14823444835561217,1.4122252915674312,0.1578836357774317,-0.0811937429958208,0.4998746170945042
PLT7_PLT3.het,1.2071949418031582,0.1121550122905473,10.763628991237724,5.111670269541262e-27,0.9873751570280385,1.427014726578278
PLT7_J2.het,0.4045484396211643,0.10890157762177337,3.7148078885156615,0.00020335813112058577,0.1911052696228954,0.6179916096194332
PLT7_EJ2(3).het,0.11158914017412615,0.2471297021251295,0.45154078694120336,0.651599835609684,-0.3727761755012393,0.5959544558494916
PLT7_EJ2(4).het,0.10903539830288576,0.051542938231770474,2.1154284571941147,0.034393446525277066,0.00801309571124302,0.21005770089452852
PLT7_EJ2(1).het,0.2118485410547032,0.1589451831838739,1.332840271162094,0.18258422694726684,-0.09967829350181112,0.5233753756112175
PLT7_EJ2(7).het,0.032176039334027934,0.060081591573725626,0.5355390643163136,0.5922771524450547,-0.08558171628431949,0.14993379495237535
PLT7_EJ2(8).het,-0.0074448402003163185,0.15569999159318187,-0.04781528967431446,0.9618634510961621,-0.312611216116142,0.29772153571550936
PLT7_EJ2(6).het,0.14071649105509135,0.03691064009388094,3.8123557515443736,0.00013764856369835417,0.06837296582476458,0.2130600162854181
J2_PLT3.het,0.20482670753295587,0.07650482581252953,2.6773044099841674,0.0074217170760269065,0.05488000429688772,0.354773410769024
J2_PLT7.het,-0.11792187414333073,0.12417681215080055,-0.9496287761045612,0.3423009114623726,-0.36130395367389556,0.12546020538723412
J2_EJ2(3).het,-0.820256738422177,0.25724913178324715,-3.188569511337781,0.0014297862934776592,-1.3244557717715395,-0.3160577050728144
J2_EJ2(4).het,-0.396970939753968,0.2318248407295046,-1.712374474214165,0.08682768001477817,-0.8513392783055312,0.0573973987975952
J2_EJ2(1).het,-0.48687071766093276,0.13501224563668796,-3.606122654763336,0.00031080627234751304,-0.7514898565807162,-0.2222515787411493
J2_EJ2(7).het,-1.0760342074339215,0.27309693854765754,-3.9401181615448437,8.14414847476346e-05,-1.6112943712754788,-0.5407740435923644
J2_EJ2(8).het,-0.5939495823899172,0.13167943206937296,-4.510572175592354,6.465299828612387e-06,-0.8520365267505768,-0.33586263802925764
J2_EJ2(6).het,-0.3889291676410782,0.15661931239639942,-2.4832772005581827,0.013017974101897352,-0.6958973792214487,-0.08196095606070769
EJ2(3)_PLT3.het,-0.22769274760622668,0.1527508268608641,-1.4906154833035687,0.13606247688013492,-0.5270788668622338,0.07169337164978043
EJ2(3)_PLT7.het,-0.005860320939783907,0.20435446256262893,-0.028677234968567826,0.977122012762735,-0.40638770764257537,0.3946670657630076
